FIPS,45.5_objective,Adj.Death_rate,low_death_rate,upper_death_rate,avg_deaths,recent_trend,recent_5_year_trend,lower_trend,upper_trend
48179,1.0,0.699089970628574,0.6905144202166433,0.6309485141061999,0.15403111809972542,1.0,0.5038759689922481,0.8657817109144542,0.12217194570135748
50005,1.0,0.699089970628574,0.703513309720259,0.6194343969453573,0.18742390537943537,1.0,0.5162790697674419,0.8761061946902654,0.13235294117647062
1081,1.0,0.6984205561340711,0.732332725990845,0.5895410363561033,0.2844225973770943,1.0,0.531782945736434,0.8952802359882005,0.13914027149321267
12091,1.0,0.6984205561340711,0.7432321783057023,0.57901046043708,0.3401962472755019,0.6666666666666666,0.4914728682170542,0.8657817109144542,0.10407239819004527
17073,1.0,0.6984205561340711,0.7203708444686328,0.6014569438121538,0.23834370643996566,1.0,0.5240310077519379,0.887905604719764,0.13235294117647062
17187,1.0,0.6984205561340711,0.6810415905596912,0.6401079205398985,0.13492516004864968,1.0,0.5209302325581395,0.8731563421828908,0.1402714932126697
18047,1.0,0.6984205561340711,0.6897346592104712,0.631977576233254,0.15403111809972542,1.0,0.5162790697674419,0.8702064896755162,0.13800904977375567
19029,1.0,0.6984205561340711,0.6713074087595439,0.6495346684519556,0.12756002185947077,1.0,0.5147286821705426,0.8643067846607669,0.13800904977375567
21035,1.0,0.6984205561340711,0.7065035116136926,0.6151563289321527,0.19509627292073517,1.0,0.5100775193798449,0.8702064896755162,0.12782805429864255
22109,1.0,0.6984205561340711,0.7316402003285105,0.5906926828764665,0.28159113995919616,0.6666666666666666,0.49612403100775193,0.8672566371681415,0.10972850678733033
28095,1.0,0.6984205561340711,0.7087296496711892,0.6129984669916404,0.19870517097838508,1.0,0.5131782945736434,0.8731563421828908,0.13009049773755657
47037,1.0,0.6984205561340711,0.7544554052944543,0.5675573198667194,0.4327936086763466,0.6666666666666666,0.47441860465116276,0.8436578171091444,0.09615384615384617
10001,1.0,0.6977499682568564,0.7405387170454358,0.5807866521604221,0.32714572688245597,0.6666666666666666,0.5007751937984496,0.8702064896755162,0.11199095022624436
13251,1.0,0.6977499682568564,0.6655025963293926,0.6529475988691273,0.11078368458049495,1.0,0.5069767441860464,0.8702064896755162,0.1233031674208145
26053,1.0,0.6977499682568564,0.6850195550355156,0.6370800879680931,0.15403111809972542,1.0,0.3255813953488372,0.4646017699115044,0.21380090497737558
26115,1.0,0.6977499682568564,0.7391842366424184,0.5813768128321517,0.323571875523183,1.0,0.5069767441860464,0.8761061946902654,0.11764705882352942
28097,1.0,0.6977499682568564,0.6527325037267677,0.6648841569681929,0.09025110716999005,1.0,0.49922480620155035,0.8392330383480826,0.13574660633484165
29163,1.0,0.6977499682568564,0.6802405874649726,0.638597123595831,0.13492516004864968,1.0,0.5255813953488372,0.883480825958702,0.1402714932126697
37049,1.0,0.6977499682568564,0.7337137129266993,0.5872268558588203,0.29369815239929586,1.0,0.5100775193798449,0.8790560471976401,0.11990950226244346
13319,1.0,0.6970782028761797,0.6483709931651658,0.6695522622049537,0.09025110716999005,1.0,0.5023255813953488,0.8495575221238938,0.13235294117647062
18031,1.0,0.6970782028761797,0.6920687915043622,0.6262817266480709,0.15960949907061783,1.0,0.5271317829457364,0.8805309734513274,0.14479638009049775
21021,1.0,0.6970782028761797,0.6997395656012806,0.6199656695457505,0.17905312761248038,0.6666666666666666,0.31782945736434104,0.5471976401179941,0.10972850678733033
22125,1.0,0.6970782028761797,0.656183305918437,0.6592029879935795,0.11078368458049495,1.0,0.48372093023255813,0.8289085545722713,0.11990950226244346
26105,1.0,0.6970782028761797,0.7050115782632063,0.6151563289321527,0.19509627292073517,1.0,0.5193798449612402,0.883480825958702,0.13009049773755657
29219,1.0,0.6970782028761797,0.7012539100360542,0.6183695413037362,0.1833336717578783,1.0,0.5162790697674419,0.8790560471976401,0.13009049773755657
30061,1.0,0.6970782028761797,0.5700752257216619,0.740607357612943,0.026471096240254677,0.3333333333333333,0.5054263565891473,0.8672566371681415,0.1233031674208145
37079,1.0,0.6970782028761797,0.6786331053603116,0.6380921407820961,0.13492516004864968,1.0,0.517829457364341,0.8716814159292035,0.13574660633484165
41033,1.0,0.6970782028761797,0.7350893158842255,0.5848980053396813,0.30551115898958486,1.0,0.5054263565891473,0.8746312684365781,0.11764705882352942
48367,1.0,0.6970782028761797,0.732332725990845,0.5878067690639217,0.2911420128779012,0.6666666666666666,0.4976744186046511,0.8643067846607669,0.11312217194570137
48071,1.0,0.6970782028761797,0.6865982677886429,0.6299165613513973,0.15960949907061783,1.0,0.4976744186046511,0.8539823008849557,0.12217194570135748
50017,1.0,0.6970782028761797,0.6974557925041769,0.6215548931018335,0.17905312761248038,1.0,0.5193798449612402,0.8761061946902654,0.13574660633484165
1077,1.0,0.6964052558495459,0.732332725990845,0.5860642759672527,0.2911420128779012,1.0,0.5224806201550387,0.8908554572271385,0.12895927601809956
13031,1.0,0.6964052558495459,0.7116761529042133,0.6053445455835129,0.21781112902946081,1.0,0.5162790697674419,0.8805309734513274,0.12669683257918554
13245,1.0,0.6964052558495459,0.7398621267869381,0.5778215437387519,0.33390216314637594,0.6666666666666666,0.5038759689922481,0.8731563421828908,0.1153846153846154
17163,1.0,0.6964052558495459,0.745905234360493,0.5730270229756034,0.36873518571733455,0.6666666666666666,0.5007751937984496,0.8746312684365781,0.11085972850678735
28149,1.0,0.6964052558495459,0.7109418306585433,0.6069981490016891,0.21488976920531355,1.0,0.517829457364341,0.8790560471976401,0.13235294117647062
30053,1.0,0.6964052558495459,0.6905144202166433,0.6283631766304665,0.1648689365489514,1.0,0.5038759689922481,0.8702064896755162,0.11651583710407241
37019,1.0,0.6964052558495459,0.737142716703949,0.5819660269747315,0.323571875523183,0.6666666666666666,0.49922480620155035,0.8702064896755162,0.10972850678733033
37131,1.0,0.6964052558495459,0.6936163453522466,0.6257595162699525,0.16984393761693944,1.0,0.5054263565891473,0.8628318584070795,0.12443438914027151
13197,1.0,0.6957311230125605,0.6210052130028725,0.6880945021068152,0.06378001092973537,0.3333333333333333,0.5054263565891473,0.8672566371681415,0.1233031674208145
13169,1.0,0.6957311230125605,0.6905144202166433,0.6252365625316147,0.1648689365489514,1.0,0.5131782945736434,0.8716814159292035,0.13009049773755657
17159,1.0,0.6957311230125605,0.6778266096681773,0.6391014132277233,0.13492516004864968,1.0,0.5209302325581395,0.8761061946902654,0.13800904977375567
17195,1.0,0.6957311230125605,0.7217993553740774,0.596397377303753,0.24918152488919165,1.0,0.531782945736434,0.8952802359882005,0.13914027149321267
24011,1.0,0.6957311230125605,0.6997395656012806,0.6173015901471759,0.1833336717578783,1.0,0.5007751937984496,0.8657817109144542,0.11764705882352942
26095,1.0,0.6957311230125605,0.6238392982131271,0.6907311756674197,0.06378001092973537,1.0,0.5085271317829457,0.8510324483775811,0.14140271493212672
29039,1.0,0.6957311230125605,0.6762080668681754,0.6421127000805653,0.13492516004864968,1.0,0.5085271317829457,0.8672566371681415,0.12782805429864255
38067,1.0,0.6957311230125605,0.6285127666913335,0.6863261476015126,0.07796420199326434,1.0,0.5023255813953488,0.8451327433628318,0.13461538461538464
39133,1.0,0.6957311230125605,0.737142716703949,0.5796034790309763,0.32265629478020597,1.0,0.5116279069767442,0.8775811209439528,0.12217194570135748
40051,1.0,0.6957311230125605,0.7138699944486624,0.6025718913724798,0.22605680126323996,0.6666666666666666,0.4790697674418604,0.831858407079646,0.11199095022624436
47011,1.0,0.6957311230125605,0.7302510579369894,0.5866460257945145,0.28580630924893025,0.6666666666666666,0.5007751937984496,0.8716814159292035,0.11199095022624436
48385,1.0,0.6957311230125605,0.5722600111026752,0.7496694805420177,0.026471096240254677,0.3333333333333333,0.5054263565891473,0.8672566371681415,0.1233031674208145
51187,1.0,0.6957311230125605,0.7020086519531146,0.6140789822974637,0.19134003278920614,1.0,0.49922480620155035,0.859882005899705,0.11877828054298645
5081,1.0,0.6950558001787754,0.6646654863004655,0.6500241754386329,0.11955366082814292,0.6666666666666666,0.4914728682170542,0.8495575221238938,0.11425339366515838
12083,1.0,0.6950558001787754,0.7518465822326847,0.5644830346532417,0.4371373109719873,0.6666666666666666,0.5007751937984496,0.8761061946902654,0.10859728506787332
